,pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
21,22,Fearow,1,Normal,Flying,Beak Pokémon,0,90,61,65,61,65,100,442,1.2,38.0,50.0,90,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
25,26,Raichu,1,Electric,Electric,Mouse Pokémon,0,85,95,50,85,60,110,485,,,50.0,75,1000000,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
26,27,Sandshrew,1,Ground,Ice,Mouse Pokémon,0,75,10,90,35,50,40,300,,,50.0,255,1000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
27,28,Sandslash,1,Ground,Ice,Mouse Pokémon,0,100,25,120,65,75,65,450,,,50.0,90,1000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
30,31,Nidoqueen,1,Poison,Ground,Drill Pokémon,0,92,75,87,85,90,76,505,1.3,60.0,0.0,45,1059860,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
33,34,Nidoking,1,Poison,Ground,Drill Pokémon,0,102,85,77,75,81,85,505,1.4,62.0,100.0,45,1059860,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0
36,37,Vulpix,1,Fire,Ice,Fox Pokémon,0,41,50,40,65,38,65,299,,,24.6,190,1000000,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
37,38,Ninetales,1,Fire,Ice,Fox Pokémon,0,67,81,75,100,73,109,505,,,24.6,75,1000000,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
38,39,Jigglypuff,1,Normal,Fairy,Balloon Pokémon,0,45,45,20,25,115,20,270,0.5,5.5,24.6,170,800000,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
39,40,Wigglytuff,1,Normal,Fairy,Balloon Pokémon,0,70,85,45,50,140,45,435,1.0,12.0,24.6,50,800000,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
40,41,Zubat,1,Poison,Flying,Bat Pokémon,0,45,30,35,40,40,55,245,0.8,7.5,50.0,255,1000000,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
41,42,Golbat,1,Poison,Flying,Bat Pokémon,0,80,65,70,75,75,90,455,1.6,55.0,50.0,90,1000000,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
42,43,Oddish,1,Grass,Poison,Weed Pokémon,0,50,75,55,65,45,30,320,0.5,5.4,50.0,255,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
43,44,Gloom,1,Grass,Poison,Weed Pokémon,0,65,85,70,75,60,40,395,0.8,8.6,50.0,120,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
44,45,Vileplume,1,Grass,Poison,Flower Pokémon,0,80,110,85,90,75,50,490,1.2,18.6,50.0,45,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
45,46,Paras,1,Bug,Grass,Mushroom Pokémon,0,70,45,55,55,35,25,285,0.3,5.4,50.0,190,1000000,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
46,47,Parasect,1,Bug,Grass,Mushroom Pokémon,0,95,60,80,80,60,30,405,1.0,29.5,50.0,75,1000000,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
47,48,Venonat,1,Bug,Poison,Insect Pokémon,0,55,40,50,55,60,45,305,1.0,30.0,50.0,190,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
48,49,Venomoth,1,Bug,Poison,Poison Moth Pokémon,0,65,90,60,75,70,90,450,1.5,12.5,50.0,75,1000000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
49,50,Diglett,1,Ground,Ground,Mole Pokémon,0,55,35,30,45,10,90,265,,,50.0,255,1000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
50,51,Dugtrio,1,Ground,Ground,Mole Pokémon,0,100,50,60,70,35,110,425,,,50.0,50,1000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
51,52,Meowth,1,Normal,Dark,Scratch Cat Pokémon,0,35,50,35,40,40,90,290,,,50.0,255,1000000,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,53,Persian,1,Normal,Dark,Classy Cat Pokémon,0,60,75,60,65,65,115,440,,,50.0,90,1000000,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,62,Poliwrath,1,Water,Fighting,Tadpole Pokémon,0,95,70,95,90,90,70,510,1.3,54.0,50.0,45,1059860,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
68,69,Bellsprout,1,Grass,Poison,Flower Pokémon,0,75,70,35,30,50,40,300,0.7,4.0,50.0,255,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
69,70,Weepinbell,1,Grass,Poison,Flycatcher Pokémon,0,90,85,50,45,65,55,390,1.0,6.4,50.0,120,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
70,71,Victreebel,1,Grass,Poison,Flycatcher Pokémon,0,105,100,65,70,80,70,490,1.7,15.5,50.0,45,1059860,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
71,72,Tentacool,1,Water,Poison,Jellyfish Pokémon,0,40,50,35,100,40,70,335,0.9,45.5,50.0,190,1250000,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
72,73,Tentacruel,1,Water,Poison,Jellyfish Pokémon,0,70,80,65,120,80,100,515,1.6,55.0,50.0,60,1250000,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
73,74,Geodude,1,Rock,Ground,Rock Pokémon,0,80,30,100,30,40,20,300,,,50.0,255,1059860,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
74,75,Graveler,1,Rock,Ground,Rock Pokémon,0,95,45,115,45,55,35,390,,,50.0,120,1059860,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
75,76,Golem,1,Rock,Ground,Megaton Pokémon,0,120,55,130,65,80,45,495,,,50.0,45,1059860,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
78,79,Slowpoke,1,Water,Psychic,Dopey Pokémon,0,65,40,65,40,90,15,315,1.2,36.0,50.0,190,1000000,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
79,80,Slowbro,1,Water,Psychic,Hermit Crab Pokémon,0,75,130,180,80,95,30,590,1.6,78.5,50.0,75,1000000,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
80,81,Magnemite,1,Electric,Steel,Magnet Pokémon,0,35,95,70,55,25,45,325,0.3,6.0,,190,1000000,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
81,82,Magneton,1,Electric,Steel,Magnet Pokémon,0,60,120,95,70,50,70,465,1.0,60.0,,60,1000000,0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
82,83,Farfetch'd,1,Normal,Flying,Wild Duck Pokémon,0,90,58,55,62,52,60,377,0.8,15.0,50.0,45,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
83,84,Doduo,1,Normal,Flying,Twin Bird Pokémon,0,85,35,45,35,35,75,310,1.4,39.2,50.0,190,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
84,85,Dodrio,1,Normal,Flying,Triple Bird Pokémon,0,110,60,70,60,60,110,470,1.8,85.2,50.0,45,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
86,87,Dewgong,1,Water,Ice,Sea Lion Pokémon,0,70,70,80,95,90,70,475,1.7,120.0,50.0,75,1000000,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
87,88,Grimer,1,Poison,Poison,Sludge Pokémon,0,80,40,50,50,80,25,325,,,50.0,190,1000000,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
88,89,Muk,1,Poison,Poison,Sludge Pokémon,0,105,65,75,100,105,50,500,,,50.0,75,1000000,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0
90,91,Cloyster,1,Water,Ice,Bivalve Pokémon,0,95,85,180,45,50,70,525,1.5,132.5,50.0,60,1250000,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
91,92,Gastly,1,Ghost,Poison,Gas Pokémon,0,35,100,30,35,30,80,310,1.3,0.1,50.0,190,1059860,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
92,93,Haunter,1,Ghost,Poison,Gas Pokémon,0,50,115,45,55,45,95,405,1.6,0.1,50.0,90,1059860,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
93,94,Gengar,1,Ghost,Poison,Shadow Pokémon,0,65,170,80,95,60,130,600,1.5,40.5,50.0,45,1059860,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0
94,95,Onix,1,Rock,Ground,Rock Snake Pokémon,0,45,30,160,45,35,70,385,8.8,210.0,50.0,45,1000000,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
101,102,Exeggcute,1,Grass,Psychic,Egg Pokémon,0,40,60,80,45,60,40,325,0.4,2.5,50.0,90,1250000,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
102,103,Exeggutor,1,Grass,Psychic,Coconut Pokémon,0,105,125,85,75,95,45,530,,,50.0,45,1250000,4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5
104,105,Marowak,1,Ground,Fire,Bone Keeper Pokémon,0,80,50,110,80,60,45,425,,,50.0,75,1000000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
110,111,Rhyhorn,1,Ground,Rock,Spikes Pokémon,0,85,30,95,30,80,25,345,1.0,115.0,50.0,120,1250000,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
111,112,Rhydon,1,Ground,Rock,Drill Pokémon,0,130,45,120,45,105,40,485,1.9,120.0,50.0,60,1250000,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
120,121,Starmie,1,Water,Psychic,Mysterious Pokémon,0,75,100,85,85,60,115,520,1.1,80.0,,60,1250000,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
121,122,Mr. Mime,1,Psychic,Fairy,Barrier Pokémon,0,45,100,65,120,40,90,460,1.3,54.5,50.0,45,1000000,1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
122,123,Scyther,1,Bug,Flying,Mantis Pokémon,0,110,55,80,80,70,105,500,1.5,56.0,50.0,45,1000000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
123,124,Jynx,1,Ice,Psychic,Humanshape Pokémon,0,50,115,35,95,65,95,455,1.4,40.6,0.0,45,1000000,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0
129,130,Gyarados,1,Water,Flying,Atrocious Pokémon,0,155,70,109,130,95,81,640,6.5,235.0,50.0,45,1250000,0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
130,131,Lapras,1,Water,Ice,Transport Pokémon,0,85,85,80,95,130,60,535,2.5,220.0,50.0,45,1250000,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
137,138,Omanyte,1,Rock,Water,Spiral Pokémon,0,40,90,100,55,35,35,355,0.4,7.5,88.1,45,1000000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
138,139,Omastar,1,Rock,Water,Spiral Pokémon,0,60,115,125,70,70,55,495,1.0,35.0,88.1,45,1000000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
139,140,Kabuto,1,Rock,Water,Shellfish Pokémon,0,80,55,90,45,30,55,355,0.5,11.5,88.1,45,1000000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
140,141,Kabutops,1,Rock,Water,Shellfish Pokémon,0,115,65,105,70,60,80,495,1.3,40.5,88.1,45,1000000,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
141,142,Aerodactyl,1,Rock,Flying,Fossil Pokémon,0,135,70,85,95,80,150,615,1.8,59.0,88.1,45,1250000,0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
143,144,Articuno,1,Ice,Flying,Freeze Pokémon,1,85,95,100,125,90,85,580,1.7,55.4,,3,1250000,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0
144,145,Zapdos,1,Electric,Flying,Electric Pokémon,1,90,125,85,90,90,100,580,1.6,52.6,,3,1250000,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
145,146,Moltres,1,Fire,Flying,Flame Pokémon,1,100,125,90,85,90,90,580,2.0,60.0,,3,1250000,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
148,149,Dragonite,1,Dragon,Flying,Dragon Pokémon,0,134,100,95,100,91,80,600,2.2,210.0,50.0,45,1250000,0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
162,163,Hoothoot,2,Normal,Flying,Owl Pokémon,0,30,36,30,56,60,50,262,0.7,21.2,50.0,255,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
163,164,Noctowl,2,Normal,Flying,Owl Pokémon,0,50,86,50,96,100,70,452,1.6,40.8,50.0,90,1000000,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
164,165,Ledyba,2,Bug,Flying,Five Star Pokémon,0,20,40,30,80,40,55,265,1.0,10.8,50.0,255,800000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
165,166,Ledian,2,Bug,Flying,Five Star Pokémon,0,35,55,50,110,55,85,390,1.4,35.6,50.0,90,800000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
166,167,Spinarak,2,Bug,Poison,String Spit Pokémon,0,60,40,40,40,40,30,250,0.5,8.5,50.0,255,800000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
167,168,Ariados,2,Bug,Poison,Long Leg Pokémon,0,90,60,70,70,70,40,400,1.1,33.5,50.0,90,800000,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
168,169,Crobat,2,Poison,Flying,Bat Pokémon,0,90,70,80,80,85,130,535,1.8,75.0,50.0,90,1000000,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0
169,170,Chinchou,2,Water,Electric,Angler Pokémon,0,38,56,38,56,75,67,330,0.5,12.0,50.0,190,1250000,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
170,171,Lanturn,2,Water,Electric,Light Pokémon,0,58,76,58,76,125,67,460,1.2,22.5,50.0,75,1250000,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5
173,174,Igglybuff,2,Normal,Fairy,Balloon Pokémon,0,30,40,15,20,90,15,210,0.3,1.0,24.6,170,800000,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
175,176,Togetic,2,Fairy,Flying,Happiness Pokémon,0,40,80,85,105,55,40,405,0.6,3.2,88.1,75,800000,0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
176,177,Natu,2,Psychic,Flying,Little Bird Pokémon,0,50,70,45,45,40,70,320,0.2,2.0,50.0,190,1000000,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
177,178,Xatu,2,Psychic,Flying,Mystic Pokémon,0,75,95,70,70,65,95,470,1.5,15.0,50.0,75,1000000,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
182,183,Marill,2,Water,Fairy,Aquamouse Pokémon,0,20,20,50,50,70,40,250,0.4,8.5,50.0,190,800000,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
183,184,Azumarill,2,Water,Fairy,Aquarabbit Pokémon,0,50,60,80,80,100,50,420,0.8,28.5,50.0,75,800000,0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
186,187,Hoppip,2,Grass,Flying,Cottonweed Pokémon,0,35,35,40,55,35,50,250,0.4,0.5,50.0,255,1059860,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
187,188,Skiploom,2,Grass,Flying,Cottonweed Pokémon,0,45,45,50,65,55,80,340,0.6,1.0,50.0,120,1059860,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
188,189,Jumpluff,2,Grass,Flying,Cottonweed Pokémon,0,55,55,70,95,75,110,460,0.8,3.0,50.0,45,1059860,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
192,193,Yanma,2,Bug,Flying,Clear Wing Pokémon,0,65,75,45,45,65,95,390,1.2,38.0,50.0,75,1000000,0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
193,194,Wooper,2,Water,Ground,Water Fish Pokémon,0,45,25,45,25,55,15,210,0.4,8.5,50.0,255,1000000,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
