pokedex_number,name,generation,type1,type2,classfication,is_legendary,attack,sp_attack,defense,sp_defense,hp,speed,base_total,height_m,weight_kg,percentage_male,capture_rate,experience_growth,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
19,Rattata,1,Normal,Dark,Mouse Pokémon,0,56,25,35,35,30,72,253,,,50,255,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
20,Raticate,1,Normal,Dark,Mouse Pokémon,0,71,40,70,80,75,77,413,,,50,127,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
21,Spearow,1,Normal,Flying,Tiny Bird Pokémon,0,60,31,30,31,40,70,262,0.3,2.0,50,255,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
22,Fearow,1,Normal,Flying,Beak Pokémon,0,90,61,65,61,65,100,442,1.2,38.0,50,90,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
23,Ekans,1,Poison,,Snake Pokémon,0,60,40,44,54,35,55,288,2.0,6.9,50,255,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
24,Arbok,1,Poison,,Cobra Pokémon,0,95,65,69,79,60,80,448,3.5,65.0,50,90,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
25,Pikachu,1,Electric,,Mouse Pokémon,0,55,50,40,50,35,90,320,0.4,6.0,50,190,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
26,Raichu,1,Electric,Electric,Mouse Pokémon,0,85,95,50,85,60,110,485,,,50,75,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
27,Sandshrew,1,Ground,Ice,Mouse Pokémon,0,75,10,90,35,50,40,300,,,50,255,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
28,Sandslash,1,Ground,Ice,Mouse Pokémon,0,100,25,120,65,75,65,450,,,50,90,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
29,Nidoran♀,1,Poison,,Poison Pin Pokémon,0,47,40,52,40,55,41,275,0.4,7.0,0,235,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
30,Nidorina,1,Poison,,Poison Pin Pokémon,0,62,55,67,55,70,56,365,0.8,20.0,0,120,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
31,Nidoqueen,1,Poison,Ground,Drill Pokémon,0,92,75,87,85,90,76,505,1.3,60.0,0,45,1059860,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
32,Nidoran♂,1,Poison,,Poison Pin Pokémon,0,57,40,40,40,46,50,273,0.5,9.0,100,235,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
33,Nidorino,1,Poison,,Poison Pin Pokémon,0,72,55,57,55,61,65,365,0.9,19.5,100,120,1059860,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
34,Nidoking,1,Poison,Ground,Drill Pokémon,0,102,85,77,75,81,85,505,1.4,62.0,100,45,1059860,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2
35,Clefairy,1,Fairy,,Fairy Pokémon,0,45,60,48,65,70,35,323,0.6,7.5,24.6,150,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
36,Clefable,1,Fairy,,Fairy Pokémon,0,70,95,73,90,95,60,483,1.3,40.0,24.6,25,800000,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
37,Vulpix,1,Fire,Ice,Fox Pokémon,0,41,50,40,65,38,65,299,,,24.6,190,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
38,Ninetales,1,Fire,Ice,Fox Pokémon,0,67,81,75,100,73,109,505,,,24.6,75,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
39,Jigglypuff,1,Normal,Fairy,Balloon Pokémon,0,45,45,20,25,115,20,270,0.5,5.5,24.6,170,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
40,Wigglytuff,1,Normal,Fairy,Balloon Pokémon,0,70,85,45,50,140,45,435,1.0,12.0,24.6,50,800000,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
41,Zubat,1,Poison,Flying,Bat Pokémon,0,45,30,35,40,40,55,245,0.8,7.5,50,255,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
42,Golbat,1,Poison,Flying,Bat Pokémon,0,80,65,70,75,75,90,455,1.6,55.0,50,90,1000000,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
43,Oddish,1,Grass,Poison,Weed Pokémon,0,50,75,55,65,45,30,320,0.5,5.4,50,255,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
44,Gloom,1,Grass,Poison,Weed Pokémon,0,65,85,70,75,60,40,395,0.8,8.6,50,120,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
45,Vileplume,1,Grass,Poison,Flower Pokémon,0,80,110,85,90,75,50,490,1.2,18.6,50,45,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
46,Paras,1,Bug,Grass,Mushroom Pokémon,0,70,45,55,55,35,25,285,0.3,5.4,50,190,1000000,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
47,Parasect,1,Bug,Grass,Mushroom Pokémon,0,95,60,80,80,60,30,405,1.0,29.5,50,75,1000000,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
48,Venonat,1,Bug,Poison,Insect Pokémon,0,55,40,50,55,60,45,305,1.0,30.0,50,190,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
49,Venomoth,1,Bug,Poison,Poison Moth Pokémon,0,65,90,60,75,70,90,450,1.5,12.5,50,75,1000000,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
50,Diglett,1,Ground,Ground,Mole Pokémon,0,55,35,30,45,10,90,265,,,50,255,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
51,Dugtrio,1,Ground,Ground,Mole Pokémon,0,100,50,60,70,35,110,425,,,50,50,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
52,Meowth,1,Normal,Dark,Scratch Cat Pokémon,0,35,50,35,40,40,90,290,,,50,255,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
53,Persian,1,Normal,Dark,Classy Cat Pokémon,0,60,75,60,65,65,115,440,,,50,90,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
54,Psyduck,1,Water,,Duck Pokémon,0,52,65,48,50,50,55,320,0.8,19.6,50,190,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
55,Golduck,1,Water,,Duck Pokémon,0,82,95,78,80,80,85,500,1.7,76.6,50,75,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
56,Mankey,1,Fighting,,Pig Monkey Pokémon,0,80,35,35,45,40,70,305,0.5,28.0,50,190,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
57,Primeape,1,Fighting,,Pig Monkey Pokémon,0,105,60,60,70,65,95,455,1.0,32.0,50,75,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
58,Growlithe,1,Fire,,Puppy Pokémon,0,70,70,45,50,55,60,350,0.7,19.0,75.4,190,1250000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
59,Arcanine,1,Fire,,Legendary Pokémon,0,110,100,80,80,90,95,555,1.9,155.0,75.4,75,1250000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
60,Poliwag,1,Water,,Tadpole Pokémon,0,50,40,40,40,40,90,300,0.6,12.4,50,255,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
61,Poliwhirl,1,Water,,Tadpole Pokémon,0,65,50,65,50,65,90,385,1.0,20.0,50,120,1059860,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
62,Poliwrath,1,Water,Fighting,Tadpole Pokémon,0,95,70,95,90,90,70,510,1.3,54.0,50,45,1059860,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
63,Abra,1,Psychic,,Psi Pokémon,0,20,105,15,55,25,90,310,0.9,19.5,75.4,200,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
64,Kadabra,1,Psychic,,Psi Pokémon,0,35,120,30,70,40,105,400,1.3,56.5,75.4,100,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
65,Alakazam,1,Psychic,,Psi Pokémon,0,50,175,65,105,55,150,600,1.5,48.0,75.4,50,1059860,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
66,Machop,1,Fighting,,Superpower Pokémon,0,80,35,50,35,70,35,305,0.8,19.5,75.4,180,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
67,Machoke,1,Fighting,,Superpower Pokémon,0,100,50,70,60,80,45,405,1.5,70.5,75.4,90,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
68,Machamp,1,Fighting,,Superpower Pokémon,0,130,65,80,85,90,55,505,1.6,130.0,75.4,45,1059860,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
69,Bellsprout,1,Grass,Poison,Flower Pokémon,0,75,70,35,30,50,40,300,0.7,4.0,50,255,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
70,Weepinbell,1,Grass,Poison,Flycatcher Pokémon,0,90,85,50,45,65,55,390,1.0,6.4,50,120,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
71,Victreebel,1,Grass,Poison,Flycatcher Pokémon,0,105,100,65,70,80,70,490,1.7,15.5,50,45,1059860,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
72,Tentacool,1,Water,Poison,Jellyfish Pokémon,0,40,50,35,100,40,70,335,0.9,45.5,50,190,1250000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
73,Tentacruel,1,Water,Poison,Jellyfish Pokémon,0,70,80,65,120,80,100,515,1.6,55.0,50,60,1250000,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
74,Geodude,1,Rock,Ground,Rock Pokémon,0,80,30,100,30,40,20,300,,,50,255,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
75,Graveler,1,Rock,Ground,Rock Pokémon,0,95,45,115,45,55,35,390,,,50,120,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
76,Golem,1,Rock,Ground,Megaton Pokémon,0,120,55,130,65,80,45,495,,,50,45,1059860,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
77,Ponyta,1,Fire,,Fire Horse Pokémon,0,85,65,55,65,50,90,410,1.0,30.0,50,190,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
78,Rapidash,1,Fire,,Fire Horse Pokémon,0,100,80,70,80,65,105,500,1.7,95.0,50,60,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
79,Slowpoke,1,Water,Psychic,Dopey Pokémon,0,65,40,65,40,90,15,315,1.2,36.0,50,190,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
80,Slowbro,1,Water,Psychic,Hermit Crab Pokémon,0,75,130,180,80,95,30,590,1.6,78.5,50,75,1000000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
81,Magnemite,1,Electric,Steel,Magnet Pokémon,0,35,95,70,55,25,45,325,0.3,6.0,,190,1000000,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
82,Magneton,1,Electric,Steel,Magnet Pokémon,0,60,120,95,70,50,70,465,1.0,60.0,,60,1000000,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
83,"Farfetch'd",1,Normal,Flying,Wild Duck Pokémon,0,90,58,55,62,52,60,377,0.8,15.0,50,45,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
84,Doduo,1,Normal,Flying,Twin Bird Pokémon,0,85,35,45,35,35,75,310,1.4,39.2,50,190,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
85,Dodrio,1,Normal,Flying,Triple Bird Pokémon,0,110,60,70,60,60,110,470,1.8,85.2,50,45,1000000,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
86,Seel,1,Water,,Sea Lion Pokémon,0,45,45,55,70,65,45,325,1.1,90.0,50,190,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
87,Dewgong,1,Water,Ice,Sea Lion Pokémon,0,70,70,80,95,90,70,475,1.7,120.0,50,75,1000000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
88,Grimer,1,Poison,Poison,Sludge Pokémon,0,80,40,50,50,80,25,325,,,50,190,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
89,Muk,1,Poison,Poison,Sludge Pokémon,0,105,65,75,100,105,50,500,,,50,75,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
90,Shellder,1,Water,,Bivalve Pokémon,0,65,45,100,25,30,40,305,0.3,4.0,50,190,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
91,Cloyster,1,Water,Ice,Bivalve Pokémon,0,95,85,180,45,50,70,525,1.5,132.5,50,60,1250000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
92,Gastly,1,Ghost,Poison,Gas Pokémon,0,35,100,30,35,30,80,310,1.3,0.1,50,190,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
93,Haunter,1,Ghost,Poison,Gas Pokémon,0,50,115,45,55,45,95,405,1.6,0.1,50,90,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
94,Gengar,1,Ghost,Poison,Shadow Pokémon,0,65,170,80,95,60,130,600,1.5,40.5,50,45,1059860,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
95,Onix,1,Rock,Ground,Rock Snake Pokémon,0,45,30,160,45,35,70,385,8.8,210.0,50,45,1000000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
96,Drowzee,1,Psychic,,Hypnosis Pokémon,0,48,43,45,90,60,42,328,1.0,32.4,50,190,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
97,Hypno,1,Psychic,,Hypnosis Pokémon,0,73,73,70,115,85,67,483,1.6,75.6,50,75,1000000,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
98,Krabby,1,Water,,River Crab Pokémon,0,105,25,90,25,30,50,325,0.4,6.5,50,225,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
99,Kingler,1,Water,,Pincer Pokémon,0,130,50,115,50,55,75,475,1.3,60.0,50,60,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
100,Voltorb,1,Electric,,Ball Pokémon,0,30,55,50,55,40,100,330,0.5,10.4,,190,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
101,Electrode,1,Electric,,Ball Pokémon,0,50,80,70,80,60,150,490,1.2,66.6,,60,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
102,Exeggcute,1,Grass,Psychic,Egg Pokémon,0,40,60,80,45,60,40,325,0.4,2.5,50,90,1250000,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
103,Exeggutor,1,Grass,Psychic,Coconut Pokémon,0,105,125,85,75,95,45,530,,,50,45,1250000,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
104,Cubone,1,Ground,,Lonely Pokémon,0,50,40,95,50,50,35,320,0.4,6.5,50,190,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
105,Marowak,1,Ground,Fire,Bone Keeper Pokémon,0,80,50,110,80,60,45,425,,,50,75,1000000,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
106,Hitmonlee,1,Fighting,,Kicking Pokémon,0,120,35,53,110,50,87,455,1.5,49.8,100,45,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
107,Hitmonchan,1,Fighting,,Punching Pokémon,0,105,35,79,110,50,76,455,1.4,50.2,100,45,1000000,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
108,Lickitung,1,Normal,,Licking Pokémon,0,55,60,75,75,90,30,385,1.2,65.5,50,45,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
109,Koffing,1,Poison,,Poison Gas Pokémon,0,65,60,95,45,40,35,340,0.6,1.0,50,190,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
110,Weezing,1,Poison,,Poison Gas Pokémon,0,90,85,120,70,65,60,490,1.2,9.5,50,60,1000000,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
111,Rhyhorn,1,Ground,Rock,Spikes Pokémon,0,85,30,95,30,80,25,345,1.0,115.0,50,120,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
112,Rhydon,1,Ground,Rock,Drill Pokémon,0,130,45,120,45,105,40,485,1.9,120.0,50,60,1250000,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
113,Chansey,1,Normal,,Egg Pokémon,0,5,35,5,105,250,50,450,1.1,34.6,0,30,800000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
114,Tangela,1,Grass,,Vine Pokémon,0,55,100,115,40,65,60,435,1.0,35.0,50,45,1000000,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
115,Kangaskhan,1,Normal,,Parent Pokémon,0,125,60,100,100,105,100,590,2.2,80.0,0,45,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
116,Horsea,1,Water,,Dragon Pokémon,0,40,70,70,25,30,60,295,0.4,8.0,50,225,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
117,Seadra,1,Water,,Dragon Pokémon,0,65,95,95,45,55,85,440,1.2,25.0,50,75,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
118,Goldeen,1,Water,,Goldfish Pokémon,0,67,35,60,50,45,63,320,0.6,15.0,50,225,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
119,Seaking,1,Water,,Goldfish Pokémon,0,92,65,65,80,80,68,450,1.3,39.0,50,60,1000000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
120,Staryu,1,Water,,Starshape Pokémon,0,45,70,55,55,30,85,340,0.8,34.5,,225,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
121,Starmie,1,Water,Psychic,Mysterious Pokémon,0,75,100,85,85,60,115,520,1.1,80.0,,60,1250000,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
122,Mr. Mime,1,Psychic,Fairy,Barrier Pokémon,0,45,100,65,120,40,90,460,1.3,54.5,50,45,1000000,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
123,Scyther,1,Bug,Flying,Mantis Pokémon,0,110,55,80,80,70,105,500,1.5,56.0,50,45,1000000,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
124,Jynx,1,Ice,Psychic,Humanshape Pokémon,0,50,115,35,95,65,95,455,1.4,40.6,0,45,1000000,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
125,Electabuzz,1,Electric,,Electric Pokémon,0,83,95,57,85,65,105,490,1.1,30.0,75.4,45,1000000,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
126,Magmar,1,Fire,,Spitfire Pokémon,0,95,100,57,85,65,93,495,1.3,44.5,75.4,45,1000000,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
127,Pinsir,1,Bug,,Stagbeetle Pokémon,0,155,65,120,90,65,105,600,1.5,55.0,50,45,1250000,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
128,Tauros,1,Normal,,Wild Bull Pokémon,0,100,40,95,70,75,110,490,1.4,88.4,100,45,1250000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
129,Magikarp,1,Water,,Fish Pokémon,0,10,15,55,20,20,80,200,0.9,10.0,50,255,1250000,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
130,Gyarados,1,Water,Flying,Atrocious Pokémon,0,155,70,109,130,95,81,640,6.5,235.0,50,45,1250000,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
131,Lapras,1,Water,Ice,Transport Pokémon,0,85,85,80,95,130,60,535,2.5,220.0,50,45,1250000,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
132,Ditto,1,Normal,,Transform Pokémon,0,48,48,48,48,48,48,288,0.3,4.0,,35,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
133,Eevee,1,Normal,,Evolution Pokémon,0,55,45,50,65,55,55,325,0.3,6.5,88.1,45,1000000,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
